# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.12.0
#@/tick	2087
#@/user_id	eb2c6107-ebb4-4c05-bd07-3d45f5d9a1d5
a 	啊	c=2 d=1.94649 t=2087
pan duan 	判斷	c=2 d=2.02984 t=2087
pan duan shi fou 	判斷是否	c=1 d=0.882497 t=2087
pei se 	配色	c=6 d=2.6863 t=2087
pei zhi 	配置	c=8 d=4.22552 t=2087
pei zhi wen jian 	配置文件	c=2 d=0.978134 t=2087
pei zhi wen ju ai ni 	配置文具愛你	c=1 d=0.847894 t=2087
pi liang 	批量	c=1 d=0.918512 t=2087
pian 	片	c=1 d=0.869358 t=2087
pin jie 	拼接	c=1 d=0.900325 t=2087
ping hua 	平滑	c=1 d=0.995012 t=2087
ping pu 	平鋪	c=1 d=0.941765 t=2087
po jie 	破解	c=1 d=1 t=2087
qi 	器	c=2 d=0.639624 t=2087
qi dong 	啓動	c=2 d=1.19084 t=2087
qi dong xiang mu 	啓動項目	c=1 d=0.519442 t=2087
qi feng 	起風	c=0 d=0.0995012 t=2087
qi feng le 	起風了	c=1 d=1 t=2087
qi ta 	其他	c=4 d=1.31053 t=2087
qi yong 	啓用	c=1 d=1 t=2087
qian 	前	c=1 d=0.970446 t=2087
qian duan 	前端	c=4 d=1.6298 t=2087
qiao jie 	橋接	c=0 d=0.0565525 t=2087
qiao jie mo shi 	橋接模式	c=1 d=0.56836 t=2087
qie 	且	c=2 d=1.18211 t=2087
qie huan 	切換	c=7 d=2.3298 t=2087
qie kuan 	且款	c=1 d=0.771052 t=2087
qing 	請	c=15 d=4.07772 t=2087
qing bian xie 	請編寫	c=2 d=1.61407 t=2087
qing bian xie yi ge 	請編寫一個	c=1 d=0.88692 t=2087
qing gei chu 	請給出	c=2 d=0.891366 t=2087
qing jiang 	請將	c=1 d=0.806541 t=2087
qing kuang 	情況	c=2 d=0.89499 t=2087
qing kuang xia 	情況下	c=1 d=0.960789 t=2087
qing qiu 	請求	c=18 d=4.77668 t=2087
qing qiu can shu 	請求參數	c=1 d=0.810584 t=2087
qing qiu cuo wu 	請求錯誤	c=1 d=0.99005 t=2087
qing qiu fang fa 	請求方法	c=1 d=0.955997 t=2087
qing qiu fang shi 	請求方式	c=1 d=0.923116 t=2087
qing qiu guo cheng 	請求過程	c=1 d=0.810584 t=2087
qing qiu hang 	請求行	c=2 d=0.993211 t=2087
qing qiu hao shi 	請求耗時	c=1 d=0.752014 t=2087
qing qiu li shi 	請求歷史	c=1 d=0.70822 t=2087
qing qiu ti 	請求體	c=2 d=0.625002 t=2087
qing qiu tou 	請求頭	c=3 d=1.05663 t=2087
qing qiu yu lan 	請求預覽	c=4 d=1.18362 t=2087
qing qiu yu lan mo shi 	請求預覽模式	c=1 d=0.687289 t=2087
qing qiu zhuan fa 	請求轉發	c=1 d=0.970446 t=2087
qing shi yong 	請使用	c=3 d=1.38438 t=2087
qing ti gong 	請提供	c=1 d=0.985112 t=2087
qing xiu fu 	請修復	c=1 d=1 t=2087
qing xiu gai 	請修改	c=2 d=1.87435 t=2087
qing you hua 	請優化	c=2 d=0.869358 t=2087
qu 	區	c=1 d=0.88692 t=2087
qu 	取	c=1 d=0.913931 t=2087
qu bie 	區別	c=2 d=1.36325 t=2087
qu fen 	區分	c=1 d=0.519442 t=2087
qu xiao 	取消	c=1 d=0.690734 t=2087
qu yu 	區域	c=1 d=0.588286 t=2087
quan 	全	c=0 d=0.0946485 t=2087
quan xian ding lei ming 	全限定類名	c=1 d=0.951229 t=2087
que ke yi 	卻可以	c=1 d=0.878095 t=2087
ran hou 	然後	c=1 d=0.644036 t=2087
rang 	讓	c=1 d=0.759572 t=2087
rong qi 	容器	c=2 d=0.823321 t=2087
ru 	入	c=1 d=0.806541 t=2087
ru guo 	如果	c=3 d=1.90794 t=2087
ru guo shi 	如果是	c=1 d=0.995012 t=2087
ru he 	如何	c=8 d=4.89111 t=2087
ru men 	入門	c=1 d=0.644287 t=2087
ruan jian 	軟件	c=2 d=1.85736 t=2087
ruan jian bao 	軟件包	c=1 d=0.927743 t=2087
ruo 	若	c=4 d=3.20045 t=2087
san ji 	三級	c=3 d=2.01665 t=2087
san ji huan cun 	三級緩存	c=2 d=0.913381 t=2087
san zhong 	三種	c=1 d=0.810584 t=2087
se kuai 	色塊	c=2 d=0.809177 t=2087
shan chu 	刪除	c=1 d=0.689258 t=2087
shang 	上	c=3 d=1.82933 t=2087
shang mian 	上面	c=4 d=2.42825 t=2087
shang shu 	上述	c=1 d=0.856415 t=2087
shang xia 	上下	c=2 d=0.831104 t=2087
she ji 	設計	c=9 d=4.00596 t=2087
she ji mo shi 	設計模式	c=1 d=1 t=2087
